time,microjax,vbmicrolensing,relative_difference
-1.861861861861862089e+00,4.045479580773385209e+00,4.045482268677254467e+00,6.644211223146194927e-07
-1.846846846846847079e+00,4.076406389526551877e+00,4.076409164531853868e+00,6.807474887791774532e-07
-1.831831831831832069e+00,4.107990179850786738e+00,4.107993047028386968e+00,6.979509379413017161e-07
-1.816816816816817060e+00,4.140249219005538883e+00,4.140252183415225495e+00,7.159973729346275907e-07
-1.801801801801802050e+00,4.173202468607483340e+00,4.173205535343201156e+00,7.348633303209232210e-07
-1.786786786786786596e+00,4.206869613493919857e+00,4.206873939057085288e+00,1.028213164476219350e-06
-1.771771771771771586e+00,4.241271091414688499e+00,4.241275595792864728e+00,1.062033832627372811e-06
-1.756756756756756577e+00,4.276428124671647346e+00,4.276432823125611904e+00,1.098685319958738342e-06
-1.741741741741741567e+00,4.312362758539759255e+00,4.312372958669107526e+00,2.365317064648801507e-06
-1.726726726726726557e+00,4.349097911404276928e+00,4.349108560475903218e+00,2.448564223727819912e-06
-1.711711711711711548e+00,4.386657345880422554e+00,4.386662708811530642e+00,1.222553787259664433e-06
-1.696696696696696538e+00,4.425065845058721692e+00,4.425073449018112726e+00,1.718380379137211937e-06
-1.681681681681681528e+00,4.464349008576529165e+00,4.464356921831353908e+00,1.772540807847588473e-06
-1.666666666666666519e+00,4.504533601657240816e+00,4.504541817302524009e+00,1.823858145047405597e-06
-1.651651651651651509e+00,4.545647355304162751e+00,4.545655885507780880e+00,1.876561674042351913e-06
-1.636636636636636499e+00,4.587719102035294760e+00,4.587727971547638006e+00,1.933312611003345238e-06
-1.621621621621621490e+00,4.630778830459849615e+00,4.630788060774479575e+00,1.993249207007803417e-06
-1.606606606606606480e+00,4.674857715988994578e+00,4.674867325438696319e+00,2.055555598220118384e-06
-1.591591591591591470e+00,4.719988165913384215e+00,4.719998205484333909e+00,2.127028552262651309e-06
-1.576576576576576461e+00,4.766203870105318430e+00,4.766214324741100405e+00,2.193488389245607330e-06
-1.561561561561561451e+00,4.813539852627648052e+00,4.813537959182777826e+00,3.933582504765917446e-07
-1.546546546546546441e+00,4.862032523412811003e+00,4.862030634477534363e+00,3.885074814717493856e-07
-1.531531531531531432e+00,4.911719730213257584e+00,4.911717852553002750e+00,3.822817823011355767e-07
-1.516516516516516422e+00,4.962640810844010097e+00,4.962638951895235628e+00,3.745887606349425905e-07
